content,replies,retweets,favorites,date
"Since 1994 under the ANC government South Africa Society lost its morals, self-respect and respect for each other? Now we got a Society with No morals? Hate, Racist, high crime, xenophobia, anti-white agenda, anti- religion! Just one big anti- Social disorder! Who cares??",3,39,66,Sep-12
"#Xenophobia: Second Batch Of Nigerians To Leave South Africa September 14 | Sahara Reporters 
The Nigerian government had ordered the immediate evacuation of Nigerians from South Africa following a renewed xenophobic attack in the country.
READ MORE: http://bit.ly/30bTHfX ",8,19,61,Sep-12
"Let take a moment today to appreciate CEO of Air Peace, who gave free flights to Nigerians from South Africa due to #Xenophobia.

Takes a second to RETWEET. ",1,18,44,Sep-12
"The CEO of Air Peace, Allen Onyema put together over N280 million in bringing the Nigerians that faced Xenophobia back from South Africa.

His reaction while being hugged and applauded was really heartwarming. He’s easily the man of the year and deserves numerous awards!",2,28,97,Sep-12
"South Africa is experiencing real xenophobia. It's not a bunch of over-privileged left wing harpies with a Twitter account. 

They are literally murdering other Africans & destabilizing the country. ",4,21,67,Sep-12
"So now many cannot travel in any African country in peace. You go to South Africa Xenophobia, you go to Nigeria Gonophobia, You come to Ghana Momophobia  pic.twitter.com/5qVlvHzYqn",18,172,706,Sep-12
"Permit me to celebrate this great Man Chief Allen Onyema and Airpeace for bringing back Nigerians stranded in South Africa as a result of the horrible Xenophobic attacks

Local man is very pleased

 @flyairpeace @bbcnewsigbo 

#airpeace #onyema #nigeria #southafrica #xenophobia ",22,130,553,Sep-12
Xenophobia: FG Applauds Air Peace For Successful Evacuation Of Nigerians From South Africa. https://www.channelstv.com/2019/09/12/xenophobia-fg-applauds-air-peace-for-successful-evacuation-of-nigerians-from-south-africa/ …,13,22,185,Sep-12
"Nothing quite captures the dangerous ethnocentrism which the EFF is seeking to implant in South Africa's than its leadership attacking someone's capabilities for no other reason than their name. Ill say it again, that ethnocentrism the EFF is nurturing is central to xenophobia",7,25,85,Sep-12
"Just imagine that you are a mechanic in South Africa and your garage was attacked, client's vehicles (probably owned by South Africans & other foreigners) destroyed and with no means to compensate the owners, will you still stay? #Xenophobia #XenophobicAttacks 

: @MobilePunch",18,60,114,Sep-12
"Nigerians who flew out of South Africa over xenophobia have arrived in the country.

Welcome home compatriots. There is no place like home. We will keep building our country! ",3,28,100,Sep-12
"This is such an emotional video.

CEO of Air Peace, Allen Onyema receives a round of applause and hugs from Nigerians, who he gave free flights to from South Africa due to xenophobia. ",334,3.1K,6.2K,Sep-12
"The tales of Nigerians coming home from South Africa are not encouraging.

''I can never return to South Africa. I have lost a lot of thing but I value my life''

: @HeidiGiokos

#XenophobicAttacks #Xenophobia ",23,133,173,Sep-11
"Xenophobia : 
320 Nigerians living in South Africa for repatriation today —Envoy

The Consul General of Nigeria in Johannesburg, Godwin Adama, has said that the first batch of Nigerian returnees from South Africa would depart for Lagos on today.",2,33,76,Sep-11
"Why xenophobia in South Africa isn’t going away soon. My story on what’s behind the looting in downtown Jo’burg. (And, my first Post byline as a freelancer.) ",3,10,33,Sep-10
"When there was no xenophobia in SouthAfrica they claimed to be Biafrans. Now that they are being attacked, they claim to be Nigerians. ",19,56,140,Sep-10
"So Now Man Cannot Travel To Any African Country In Peace. You Go To South Africa Xenophobia, You Go To Nigeria Gonophobia . You Come To Ghana Too Momophobia
Eeeiii hmmm ",11,108,292,Sep-10
"""By tolerating xenophobia, South Africa has managed to alienate the very countries that helped it liberate itself from the ghastly, desensitising and murderous depravities of identity-driven apartheid politics."" https://aje.io/fnars  — #AJOpinion, by Tafi Mhaka & Suraya Dadoo",10,95,168,Sep-10
Statement from the Chairman of the Council of African Apostles on Xenophobia in South Africa. #CAA,5,69,238,Sep-10
"Voice recording have been received from the Boco Haram group who plan to attack the schools in Eastern Cape where the girls will be harvested from their schools as revenge 

Xenophobia: Nigerians call on Boko Haram to attack South Africa [video]

",2,29,30,Sep-10
"Xenophobia:
The Chairman/CEO of Nigerians in Diaspora Commission, Hon. Abike Dabiri-Erewa said at least 640 Nigerians are willing to be evacuated from South Africa and President Muhammad Buhari has directed that Nigeria will protect and demand justice for all Nigerians. ",15,88,225,Sep-10
"Say No To Xenophobia 
South Africa open your eyes
Lets get our shit together pic.twitter.com/m1O9GzT2ZF",14,76,168,Sep-10
"Buhari receives envoy to South Africa, orders evacuation of 640 Nigerians
https://punchng.com/buhari-receives-envoy-to-safrica-orders-evacuation-of-640-nigerians/ …
#Xenophobia 
#XenophobiaInSouthAfrica 
#Nigerians 
#Nigeria 
#TuesdayMotivation",7,12,43,Sep-10
So amnesty Nigeria and others human rights orgs have no xenophobia in their dictionary. Suddenly they lost their voices at the wide human rights abuses by South Africa.,2,11,18,Sep-10
"September is something else already.

- Xenophobia is still on in South Africa 

- Biggie did not attend Bam Bam and Teddy A introduction 

- Tacha dragged Seyi like Computer Village thief 

- Yetty turned down deliverance session from Ayo FBI Liberation Crusade ",2,24,97,Sep-09
"The Nigerian govt under @MBuhari have failed us at home & is currently shaming us in front of South Africa & making us a subject of mockery in Africa. 

The life of 1 Nigerian should be worth more than the entire of South Africa. 

#CutTiesWithSouthAfrica
#Xenophobia",4,12,35,Sep-09
"Citing “the recurring issue of xenophobia” in and around Johannesburg, Nigeria’s president will help Nigerians who want to flee South Africa ",4,36,54,Sep-09
"South Africa has the same problem Kenya,Dubai,America,Britain  has with Nigeria but because we don’t have our own black government and media ..the people frustrations are falsely reported as “xenophobia”",3,25,49,Sep-09
"As we are fighting to stop ""XENOPHOBIA"" in South Africa,  we must also work together to stop fraud, 419,  selling of illegal drugs, arm robbery, the foreign false pastors and false prophets that are exploiting innocent South Africans!!!",3,29,44,Sep-09
"So, when these people react, we call it XENOPHOBIA and forget about the atrocities committing by the foreign nationals in South Africa. Some foreigners have fake banks, fake law chambers, fake police services etc.but no body is talking about these things, only XENOPHOBIA",36,483,985,Sep-09
Xenophobia: African Commission to take action on South Africa – NICE MOVE BY SERAP ,1,18,47,Sep-09
"Some People Don’t Even Know What Is Happening and They Are Destroying tinz. 
I asked One tout ... 

Me: Oga, What Is Happening ???
The tout: ""They killed Xenophobia  An Igbo Man In South Africa."" 
",28,41,224,Sep-09
So Buhari refused to condemn the massacre of Nigerians and the Xenophobia in  but rather promised to help South Africa fight 'Nigerian criminals'?...The Sudan conspiracy is now really making sense. The most unpatriotic President we've ever had.,9,59,103,Sep-09
"The first batch of 320 Nigerians for evacuation from South Africa aboard Air Peace Airlines is expected to arrive the Murtala Muhammed International Airport on Wednesday, Chairman of the airline Mr Allen Onyema has disclosed: https://thenationonlineng.net/just-in-xenophobia-320-nigerians-to-arrive-wednesday-from-south-africa/ … #Xenophobia",3,18,55,Sep-09
"“The President of South Africa should offer a sincere public apology to Nigeria, other countries affected by the attacks and the entire continent for the tragic hostility and harm perpetrated against their citizens.” https://guardian.ng/news/ezekwesili-nigerians-in-south-africa-meet-demand-compensation-for-loss/?utm_medium=Social&echobox=twitter_post&utm_source=Twitter#Echobox=1568031095 … #SouthAfrica #Nigeria #Xenophobia",36,86,265,Sep-09
"The recurring issue of xenophobia and attacks on African nationals remains very worrying. If nothing is done to stop it, it could negatively affect the image and standing of South Africa as one of the leading countries in Africa. It has to be stopped.",138,370,1.1K,Sep-09
So someone said the reason why the President is yet to comment on the attack at South Africa is because he can't pronounce #Xenophobia? ,6,46,79,Sep-09
Xenophobia: Buhari pledges to assist South Africa tackle ‘few Nigerians’ engaged in crime ,171,135,219,Sep-09
"bUt AdOs iS aNti-ImMiGrAnT aNd XeNoPhObIc 

Read the horrors! Pan-Africanism exists in the mind of self-hating AMERICAN descendants of slavery ONLY! #lost 

Xenophobia: $10b reparations suit looms against South Africa | P.M. News ",16,50,105,Sep-09
"So now man Can not travel to any African Country In peace. You go go South Africa Xenophobia, You go to Nigeria Gonophobia you come to Ghana too Momophobia 
Lord what has Africans done ?? ",15,95,203,Sep-09
"BREAKING: Xenophobia: The chairperson of the African commission on human & peoples’ rights just agreed to our request to sue South Africa for $10bn, saying that: “I just shared SERAP’s letter with chair of the commission’s working groups for follow-up and appropriate action.”",9,157,317,Sep-09
"DAM SQAURE, AMSTERDAM. PROTEST AGAINST GENDER BASED VIOLENCE AND XENOPHOBIA IN SOUTH AFRICA. #ENOUGHISENOUGH – at Dam",6,437,679,Sep-09
"You have been subbing and insulting South Africa's xenophobia all week, but when your 'Supreme Lagos Daddy' prevented your fellow compatriots of another ethnic group from voting in last general elections, you kept quiet o. ",40,611,1.3K,Sep-09
"There's something that the great @Asukwoeb missed here.

Xenophobia, which we daintily call tribalism, is as big a problem here as it is in #SouthAfrica.

Think 1953, 1966, 1982, 1991, 1993, 2000, 2001, and so many others.

Think 97% v 5%... ",7,84,64,Sep-09
Over 400 Nigerians living in South Africa have shown interest in leaving South Africa on the free Air Peace flight to Nigeria due to xenophobia.,99,588,1.9K,Sep-09
This is South Africa - Xenophobia at its worst - the result of open borders  May God have mercy of the country of my birth  ,30,85,78,Sep-08
"Retaliating against South Africa’s xenophobia attacks by attacking and looting places us on the same animalistic pedestal as the miscreants who started this crisis in SA. Let us be more cerebral. Just boycott @MTNNG, @DSTV, @Shoprite_NG and @StanbicIBTC 

#BuyNigerianToPunishSA",26,103,456,Sep-08
"#SayNoToXenophobicAttacks: Some humans have the capacity to do more evil than the devil. A full-fledge Walking Dead yet to decay. In fact the devil will take a pad and be jotting down points from some of these beasts in #SouthAfrica. #Xenophobia heathens.

https://twitter.com/kymashur1931/status/1170730598337527808/video/1 …",462,1.1K,721,Sep-08
"So y'all Nigerians was on Twitter when Xenophobia, the Igbo business Man was killed in South Africa and you did nothing wow

Pathetic ",3,20,76,Sep-08
"Thank you to everyone in Amsterdam who shared solidarity for South Africa by protesting against xenophobia and gender based violence!

Let’s continue raising awareness around the world to end violence in SA 

#ENDviolenceSouthAfrica",1,83,419,Sep-08
"UK... brexit
south Africa... xenophobia
USA... trade war 
Zimbabwe.... mugabe dead 
Brazil..... amazon burning

Uganda... parte after parte ",8,47,167,Sep-08
"A Nigerian, chief Xenophobia Nduka was killed in Johannesburg, South Africa that led to the riots in both countries.  

 ",34,97,135,Sep-08
Xenophobia: 400 Nigerians indicate willingness to return from South Africa – Official ,3,28,58,Sep-08
"New unrest started on Sunday in Johannesburg CBD. Shops looted and damaged. Protesters armed with sticks and pangas signing ""foreigners must go back to where they came from"" #SouthAfrica #XenophobiaSouthAfrica #Xenophobia #XenophobicAttack",10,50,34,Sep-08
".@PoliceNG Arrest 125 Persons Over Looting Of @Shoprite_NG | Sahara Reporters 
Irate Nigerians had attacked South African brands in a reprisal following the recent xenophobia attack in South Africa.
READ MORE: http://bit.ly/2ZWde3Y ",22,20,68,Sep-08
"South Africa, right now, is just a huge dumpster fire of anti black racism and xenophobia ...",6,40,94,Sep-08
"Xenophobia has shown how Apartheid did a thorough job and destroyed the collective intelligence of elite black South Africa

Black SA is a young nation, they are not aware of the compound effects of rewarding rubbish

This is why their elites like Mbeki have decided  be moronic",10,116,158,Sep-08
"Xenophobia: @SERAPNigeria Demands Victims’ Compensation, Punishment For South Africa | Sahara Reporters 
“These attacks constitute serious violations of the human rights of Nigerians and other African citizens in South Africa.""
READ MORE: http://bit.ly/2ZWsUnF ",2,18,61,Sep-08
"Recommended Reading: South Africa’s Xenophobia Exposes Buhari’s Own Phobias, from my column, #TheAlternative, in today's Thisday",7,44,135,Sep-08
"#Xenophobia; Special envoy of President Muhammadu Buhari, Ambassador Ahmed Rufai Abubakar met with President Cyril Ramaphosa on Friday, September 6, 2019 in Pretoria, South Africa. ",21,47,227,Sep-08
"Xenophobia: SERAP Asks African Commission To Sue South Africa, Seeks $10bn For Victims. https://www.channelstv.com/2019/09/08/xenophobia-serap-asks-african-commission-to-sue-south-africa-seeks-10bn-for-victims/ …",8,27,116,Sep-08
"Well said by ⁦@simonkolawole⁩: “We should not make excuses for xenophobic South Africa; after all, we did not make excuses for its precursor — apartheid South Africa. Xenophobia is just apartheid in disguise.”  ",,16,31,Sep-08
"Every time South Africa try to deal with nigerians selling drugs you scream xenophobia,most of nigerians in South Africa sell drugs,its a fact!!",10,13,197,Sep-08
They killed Xenophobia in South Africa  ,80,280,417,Sep-07
"This is a bigger problem than #Xenophobia ! It's a Hate Crime !

a horrific farm attack in which she was raped twice, shot in the buttocks and forced to beg for her children's lives to be spared 
#SouthAfrica 
",11,42,47,Sep-07
"We are trying to raise awareness on the ongoing xenophobia and violence against women in South Africa  we are standing with you @BTSSouth_Africa @BTSCOMETOSA @BTS_ArmyAfrica in the hope that change is near.


#SpeakYourself #ENDviolence #EndViolenceSouthAfrica @BTS_twt",1,223,364,Sep-07
"Since the dawn of democracy in South Africa, the shame of xenophobia has happened again and again, but this time, African nations have had enough. | Analysis by @McKenzieCNN",6,35,51,Sep-07
"Xenophobia: Evacuation Of Distressed Nigerians From South Africa To Start Today.
https://www.channelstv.com/2019/09/07/xenophobia-evacuation-of-distressed-nigerians-from-south-africa-to-start-today/ …",23,25,126,Sep-07
"since this is getting recognition, south africa is literally experiencing gender based violence, femicide and xenophobia at this moment and this needs to be said to raise awareness so the government can establish safety and peace ",1,27,92,Sep-07
"Kindly Share. Someone on your timeline might need this. Thank you. 
#SayNoToXenophobiaAttacks
#Ghana 
#SouthAfrica 
#Ghanaians 
#XenophobiaInSouthAfrica 
#Xenophobia ",3,71,41,Sep-07
African nations are united in their outrage at the violent xenophobia shown in South Africa against immigrants. https://trib.al/d8UUnXC ,6,26,53,Sep-07
There is no xenophobia attacks in South Africa...No Nigerian is attacked simply because he's Nigerian...The President has spoken...foolish and coward African Presidents must come collect their criminals instead of canceling matches and events.They must take responsibility. ,6,29,61,Sep-07
"In South Africa:

Major, unreported protests against xenophobia.

 ",12,264,501,Sep-06
"Nigerians like Prof Sope in Stellenbosch University and others with research latitude on this theme, who live in South Africa arent this uppish. You dont have d mileage on xenophobia and your audience dont have d reach. Mummy, this your motivation reminds us of Moladun Kenkelewu. ",17,106,188,Sep-06
Still non sign of @burnaboy @TiwaSavage @casspernyovest apologies for contributing to this xenophobia attacks through spreading fake news. but hey this is Africa. No Nigerian was killed in South Africa to this date  ,5,36,79,Sep-06
"South Africa is between a rock and a hard place. Unemployment is sky high. Disaffection is growing and the Government there is running out of ideas and time to solve these problems.

The period nod and winks to xenophobia no longer work. The rest of Africa is on notice.",7,80,138,Sep-06
"Let’s use our voices to help spread awareness to what is happening in South Africa so leaders around the world can help end the xenophobia & injustice against women.

Use the tags #ENDviolenceSouthAfrica and #SpeakYourself to stand against violence, injustice, & discrimination ",23,598,411,Sep-06
"As South Africa is facing a situation about xenophobia and violence against women, we are asking everyone for help and please do hear their cries and pleas.

General Public, we are asking you to be aware of the real situation. 

#ENDViolenceSouthAfrica
#SpeakYourself",1,73,86,Sep-06
"Col. (Rtd) @ShabanBantariza - Deputy Government Spokesman will be talking about the ""Safe houses, murders and kidnaps in Uganda, Police efficiency and xenophobia attacks in South Africa"" LIVE on B!G TALK this Saturday 7th September 2019. 

Time: 9.00am
Station: @nxtradioug",5,7,34,Sep-06
"ARMYs, we are trending #SpeakYourself  #ENDviolenceSouthAfrica to raise awareness about the ongoing xenophobia and violence against women. We ask government, civil society and organisations in South Africa to do more to establish peace, stability and safety.",45,2.2K,3.6K,Sep-06
"Xenophobia: We’re tired of repatriating dead Nigerians from South Africa —Gbajabiamila
http://bit.ly/2kvUtp6 ",8,24,93,Sep-06
Xenophobia: Air Peace Delays Airlifting Due To Expired Travel Documents Of Nigerians In South Africa | Sahara Reporters http://bit.ly/311dU9v ,51,82,144,Sep-06
"BREAKING NEWS 

The Chinese president has finally spoken on the xenophobia in South Africa.
He said ""shaici ting yang tengwena feng lamise, Deng fong hong choo S.A jichang zhing cho yang hi zanghi chioo shan""

I truly agree wit him because it's for our own benefit as Africans ",11,115,163,Sep-06
"#SouthAfrica: It’s very easy for you to burn your black brothers...but you can’t fight white foreign nationals! Shame on you...

#Xenophobia 
#XenophobicAttacks 
#StopXenophobia",39,72,119,Sep-06
"Just when I thought 2019 was better, then this!
What a week. 
• Xenophobia started by South Africa 
• Men killing and raping for sports
• NDF shooting civilians “to maintain law and order”
• ST giving away girls tomorrow 
• Robert Mugabe died

God, where are You? Save us pls ",,7,29,Sep-06
"In the Saturday Vision

>Rwandan murdered: 3 officers arrested

>Life and times of Robert Mugabe

>KCCA, Govt sued over jobs

>HIV Patients complain about new drug

>Nagenda on Xenophobia in South Africa, Brexit

Grab a copy of the Saturday Vision for these and more stories ",23,9,47,Sep-06
"You see what’s going on in South Africa? The xenophobia? This was why the first big budget African scifi film District 9 pissed me off so much. 

This type of thing was happening in South Africa (also targeting especially Nigerians) months before the film’s release in 2009.",4,32,187,Sep-06
"Dear my fellow Bakiga country men , what’s happening in South Africa  is called XENOPHOBIA not “ Iza na 4beer” ",7,50,140,Sep-06
"Xenophobia: Don’t add insult to our grief, Reps warn South Africa
https://punchng.com/xenophobia-dont-add-insult-to-our-grief-reps-warn-south-africa/ …
#FridayThoughts 
#FridayMotivation",9,15,68,Sep-06
"What Nigerian governments should be ashamed of is that they have created such a difficult place to survive in, Nigerians living in South Africa would rather endure xenophobia there than go back to Nigeria.

Pretty sure next to no Nigerian in SA will take up this offer of return. ",2,14,21,Sep-06
RIP SouthAfrica. VicO about to end Xenophobia. ,,7,15,Sep-06
"Julius Malema, the National Leader of South Africa's third largest political party, EFF apologises to Africans for xenophobia in South Africa, says it's because of deep rooted issues that stemmed from apartheid. ",38,580,1.2K,Sep-06
"Congolese loot South African-owned company, Mr Price's store in Lubumbashi, DR Congo over xenophobia in South Africa. ",141,653,1.0K,Sep-06
When I heard South Africa was still looking for an African country to play a friendly in the wake of Xenophobia ,15,31,401,Sep-06
"SOUTH AFRICA MY BELOVED COUNTY AFRICA MY HOME

Say No to Xenophobia.

#SayNoToXenophobia 

#AfricaWeAreOne #AfricaUnite  ",1,19,86,Sep-06
"Some people don't even know what is happening and they are busy destroying Shoprite. I asked one Tout, ""Oga what is happening""? And he said they killed XENOPHOBIA an Igbo Guy in South Africa ",31,233,550,Sep-06
"Since some of us can't see your right hand, just place it on your chest and recite the national pledge because you are going to South Africa to campaign against xenophobia 
      #SayNoToXenophobia",9,91,122,Sep-05
"Tell me of any black society today where they love each other?
Xenophobia in South Africa is a reflection of how weak the black man brain functions! We hate ourselves, we are jealous of each other, we kill each other with reckless abandon.

#Ramaphosa",7,56,166,Sep-05
"It's only in South Africa where an illiterate villager thinks a qualified medical doctor from another African country is the reason for his unemployment!
Mugabe was a Legend!  
#RIPMugabe #StopXenophobiainSouthAfrica #Xenophobia ",,20,34,Sep-05
"Robert Mugabe, a proud pan Africanist, passes on at a time the foundations of Africa's unity are tested, with the Xenophobia in South Africa and the retaliatory attacks in some countries.
As a continent, may we remember our past as we mourn Mugabe & other heroes
#RIPMugabe",21,33,86,Sep-05
"I’m expecting South Africa’s religious leaders in mosques , churches , synagogues and temples to play a greater role in raising the consciousness of the evils of rape , gender- based violence , xenophobia ,mass looting , wanton destruction and poor community & national leadership",5,20,69,Sep-05
"Zimbabweans,
Would rather stay in South Africa,
& Face #Xenophobia,
Than come back home,
& Suffer Zanupf...

They'd rather hide in their rooms & pray their SA neighbours don't out them,
They'd rather risk being beaten up by angry mobs.
Isn't that heartbreaking?
Zanupf must go!",11,73,340,Sep-05
"South Africa warned us in their song *""remember the road that would lead you home""*  we were busy dancing and some of you were shouting bode Thomas. 
And now......xenophobia.
 ",11,84,143,Sep-05
"Xenophobia: Nigerian Police arraign 83 over Shoprite’s looting - Punch

Now; My question is: How many has S.A Police arrested for the killing, butchering and burning of Nigerians in South Africa?",16,24,71,Sep-05
"Xenophobia: Buhari's Special Envoy Arrives In South Africa

Find out who the envoy is in the story.
https://www.channelstv.com/2019/09/05/breaking-xenophobia-buharis-special-envoy-arrives-in-south-africa/ …",35,36,114,Sep-05
"If you are still patronising @MTN_NG, @STANBICIBTC, @Shoprite_NG, and DSTV, this is for you. 

Think South Africa's government is sorry about the xenophobia, think again! 

You are part of the problem if you buy South African.

#BuyNigerianToPunishSA",38,115,260,Sep-05
"We are currently holding a call conference with our brothers and sisters across the world on issues happening in South Africa. We are saying stop being silent on violence and #Xenophobia.
Me and @ItsMutai are very disappointed with the silent African govts.",6,55,187,Sep-05
"Xenophobia attacks: Sen. Abaribe demand FG take tough action against SA 

Read also: South African Parliament issues veiled arrogant statement

Nigerians expresses anger, demand tough actions against South Africa, firms

Atiku demand AU act fast
",,157,51,Sep-05
"D'banj in 2008: First time I go South Africa the people dey call me Kapela  

Sco pa tu manaa: Xenophobia in South Africa 

D'banj in 2019: I'm so shy shy  
   #SayNoToXenophobia",3,61,101,Sep-05
"You travel to South Africa, you face Xenophobia.

You come back to Nigeria, you face JoblessPhobia, HerdsmenPhobia & PovertyPhobia

You travel to village, you face PoisonPhobia",46,116,240,Sep-05
"Xenophobia: Air Peace To Evacuate Nigerians From South Africa. 

I urge Nigerians living in South Africa not to come back because home are not safe, no jobs, people who returned from Libya are still suffering  till date no help from FG. Herdsmen crisis FG could not stop it.shame! ",10,58,46,Sep-05
"Xenophobia: Nigerians in Ghana condemn attacks in South Africa
https://punchng.com/xenophobia-nigerians-in-ghana-condemn-attacks-in-south-africa/ …
#ThursdayMotivation 
#SayNoToXenophobiaAttacks 
#SayNoToViolence",2,22,54,Sep-05
"Madagascar have also canceled their friendly against South Africa, which was supposed to hold on Saturday, after South Africa reorganised a friendly with them following Zambia's decision to terminate their friendly with them over xenophobia.",71,811,2.1K,Sep-05
"Xenophobia: Why I travelled to South Africa —Fayemi
https://punchng.com/xenophobia-why-i-travelled-to-south-africa-fayemi/ …
#SayNoToXenophobiaAttacks 
#SayNoToViolence 
#ThursdayMotivation",14,12,51,Sep-05
"VIDEO | The clampdown on foreign nationals in South Africa was a major election issue for South African political parties. WATCH President @CyrilRamaphosa during his election campaign 
 @eNCA 
#XenophobiaInSouthAfrica 
#XenophobicAttacks 
#Xenophobia ",49,286,217,Sep-05
"Xenophobia attacks in Katlehong, South Africa. ",8,24,25,Sep-05
Xenophobia: Nigeria Is Recalling Its High Commissioner To South Africa – Lai Mohammed. https://www.channelstv.com/2019/09/05/xenophobia-nigeria-is-recalling-its-high-commissioner-to-south-africa-lai-mohammed/ …,16,16,64,Sep-05
"What about reading a stuff like this Xenophobia:

""Some don't even know what is happening & they are busy destroying Shoprite, I was forced to asked a Tout - Oga ki lo nshele?... He replied they killed Xenophobia & Igbo Guy in South Africa ni Sha!"" ",16,11,86,Sep-05
"Xenophobia: I’m in South Africa to ensure govt never again looks away while our citizens are attacked —Ezekwesili
https://punchng.com/xenophobia-im-in-south-africa-to-ensure-govt-never-again-looks-away-while-our-citizens-are-attacked-ezekwesili/ …
#SayNoToXenophobiaAttacks 
#SayNoToViolence 
#ThursdayMotivation",128,99,349,Sep-05
"My attempt to take picture of an old photo used by Channels TV while reporting xenophobia in South Africa failed today, in the morning. I don’t know why not only people but even media organisations recycle old pictures in reporting current happenings. Is this not  disinformation?",2,6,36,Sep-05
"Jim over pulls out from further participation in the world Economic Forum holding in South Africa in protest of Xenophobia.

I'm still waiting for Madam oby to pull out. Fake activist ",10,17,29,Sep-05
"Xenophobia: Twitter users berate Fayemi, El-Rufai, Sanusi for attending event in South Africa
https://punchng.com/xenophobia-twitter-users-berate-fayemi-el-rufai-sanusi-for-attending-event-in-south-africa/ …
#SayNoToXenophobiaAttacks 
#SayNoToViolence 
#ThursdayMotivation 
#elrufai
#Fayemi",46,55,141,Sep-05
"This is how the xenophobia crisis will end.

Nigeria will say No Nigerian was killed, South Africa will call for Photo Ops.

Buhari and Ramophosa will shine teeth for cameras, nothing go happen.

Then wait again in 6 months time when Xenophobia seasons starts in Jo'burg. ",3,51,41,Sep-05
"So yesterday I saw one tout coming out of shoprite oh and I decided to ask him what happened just for whining sake, he said they killed xenophobia an igbo guy in South Africa 

Please I'm looking for where to faint ",38,189,541,Sep-05
"Xenophobia: Jim Ovia withdraws from WEF in South Africa
https://punchng.com/xenophobia-jim-ovia-withdraws-from-wef-in-south-africa/ …
#SayNoToXenophobiaAttacks 
#SayNoToViolence 
#ThursdayMotivation",29,92,299,Sep-05
"Xenophobia is a cancer that should not be allowed to grow in any society. We at The Guardian say no to xenophobia.
#Nigeria #SouthAfrica #Africa #Xenophobia #XenophobicAttacks #Peace #Unity #TheGuardianNg",1,14,60,Sep-05
Proof that there's no xenophobia in South Africa no one will hop in that plane,3,19,175,Sep-05
"Some people don't even know what is happening and they are busy destroying Shoprite, I asked one Tout/Thug .... Oga what is happeningThe guy said they killed Xenophobia an Igbo Guy in South Africa 

I'm still looking for where to faint
",8,55,160,Sep-05
"While we must continue rejecting xenophobia in South Africa by boycotting everything South African and instead #BuyNigerianToPunishSA, let’s understand that the BEST SOLUTION is FIXING Nigeria so Nigerians don't have to seek greener pasture in SA! That is the PERMANENT SOLUTION!",60,288,1.2K,Sep-05
Xenophobia: South Africa proposes cultural exchange programme with Nigerian youth groups ,26,26,64,Sep-05
"Some people don't even know wat is happening nd dey ar busy destroying shoprite, I asked one tout.... Oga wat is happening.. The guy said they killed Xenophobia an igbo guy in South Africa ....

MC OLUOMO Teni  Madam Oby  Pepsi  Ibadan NURTW  Anthony Joshua #ENGLISHTEACHER DINO",20,149,316,Sep-05
"As we celebrate #TeachersDay, let’s continue to pray for teachers of different countries living in South Africa.
#XenophobiaInSouthAfrica #SouthAfricans #SayNoToXenophobiaAttacks #Xenophobia 

Watch the video   ",1,16,27,Sep-05
Nigerians are calling on all African countries to break diplomatic relations with South Africa. But the same country has good diplomatic relations with Israel which invaded Palestine and mercilessly massacred multitudes of innocent Palestinians. We condemn #Xenophobia in SA.,17,49,135,Sep-05
"This Xenophobia on #Biafrans in @South Africa, blame it on @UN we have been pleading with @UN to grant us our independent for us to have our leader @UN turn blind eye because of @British n what @Nigeria offer them, / because we are Blacks @UN are No1 racist if u are looking for 1",7,91,23,Sep-04
"Xenophobia: Air Peace offers to evacuate Nigerians from South Africa
",77,215,726,Sep-04
"Nigerian airline, Air Peace have voluntereed to give Nigerians, who want to travel back from South Africa free flights as from Friday tomorrow, September 6th. #SouthAfricans #XenophobicAttacks #Xenophobia #SayNoToXenophobiaAttacks #XenophobiaInSouthAfrica",895,3.7K,8.5K,Sep-04
"""@gidifeedtv: Police On Standby As Loots From Sangotedo Mall Are Been Recovered 
Xenophobia: Tiwa Savage Cancels Her DSTV Show In South Africa
#NoToXenophobicAttacks #SayNoToXenophobicAttacks  #StopXenophobia  #SAShutdown  #xenophobiaattack 
@Gidi_Traffic",,17,26,Sep-04
White foreigners and immigrants don’t experience xenophobia in South Africa. It is reserved mainly for poor black foreigners from the African continent. h ,22,40,41,Sep-04
"There is an African Proverb that comes to mind when I think about the #xenophobia happening in #SouthAfrica - A fight between grasshoppers is a joy to the crow. ~ Lesotho proverb
The longer WE fight, the longer THEY win! ",10,89,160,Sep-04
"Since Buhari has refused to say anything regarding xenophobia, Ceo of Air peace Nigeria have made free flights available from South Africa to Nigeria.. Dalụ rinne mmaji pụrụ maji.. Ogologo ndụ na arụ isi ike",8,63,295,Sep-04
"Mafikizolo have cancelled their show in Zimbabwe over fear of violence due to xenophobia in South Africa.

Nigerian Rapper, Vector cancelled his tourist trip to South Africa. Tiwa Savage canceled her performance at DStv Delicious Festival in South Africa. ",60,588,1.5K,Sep-04
Deeper analysis shows the similarities between the black on black hate crimes being perpetuated in South Africa & Nigeria. It stems from bad leadership. It is not Xenophobia if the white population are not affected. This is a plot to make us hate ourselves further. #FixSociety,16,225,468,Sep-04
"Some people don't even know what is happening buh they want to destroy Shoprite.
I asked 1 tout, Oga what happened?, he said  they killed Xenophobia, an Igbo guy in South Africa.  ",330,2.3K,5.1K,Sep-04
